RESTAURANTNIT,CLIENTCODE,DATE,CODE PRODUCT
19831,16178,Sat Sep 26 09:12:03 COT 2020,1375
19831,16178,Sat Sep 26 09:12:03 COT 2020,1375
19831,16178,Sat Sep 26 09:12:03 COT 2020,1924
19831,16178,Sat Sep 26 09:12:03 COT 2020,1924
19831,16178,Sat Sep 26 09:12:03 COT 2020,15042
19831,16178,Sat Sep 26 09:12:03 COT 2020,15042
19832,16178,Sat Sep 26 09:12:03 COT 2020,13378
19832,16178,Sat Sep 26 09:12:03 COT 2020,13378
19833,16178,Sat Sep 26 09:12:03 COT 2020,6263
19833,16178,Sat Sep 26 09:12:03 COT 2020,6263
19834,16178,Sat Sep 26 09:12:03 COT 2020,10407
19834,16178,Sat Sep 26 09:12:03 COT 2020,10407
19835,16178,Sat Sep 26 09:12:03 COT 2020,13963
19835,16178,Sat Sep 26 09:12:03 COT 2020,13963
19836,16178,Sat Sep 26 09:12:03 COT 2020,12696
19836,16178,Sat Sep 26 09:12:03 COT 2020,12696
19837,16178,Sat Sep 26 09:12:03 COT 2020,9176
19837,16178,Sat Sep 26 09:12:03 COT 2020,5718
19837,16178,Sat Sep 26 09:12:03 COT 2020,12727
19837,16178,Sat Sep 26 09:12:03 COT 2020,9176
19837,16178,Sat Sep 26 09:12:03 COT 2020,5718
19837,16178,Sat Sep 26 09:12:03 COT 2020,12727
19838,16178,Sat Sep 26 09:12:03 COT 2020,14396
19838,16178,Sat Sep 26 09:12:03 COT 2020,14396
19839,16178,Sat Sep 26 09:12:03 COT 2020,17943
19839,16178,Sat Sep 26 09:12:03 COT 2020,17943
19840,16178,Sat Sep 26 09:12:03 COT 2020,14727
19840,16178,Sat Sep 26 09:12:03 COT 2020,14727
19841,16178,Sat Sep 26 09:12:03 COT 2020,7894
19841,16178,Sat Sep 26 09:12:03 COT 2020,7894
19841,16178,Sat Sep 26 09:12:03 COT 2020,7894
19841,16178,Sat Sep 26 09:12:03 COT 2020,7894
19842,16178,Sat Sep 26 09:12:03 COT 2020,7894
19842,16178,Sat Sep 26 09:12:03 COT 2020,7894
19842,16178,Sat Sep 26 09:12:03 COT 2020,7894
19842,16178,Sat Sep 26 09:12:03 COT 2020,7894
19843,16178,Sat Sep 26 09:12:03 COT 2020,16519
19843,16178,Sat Sep 26 09:12:03 COT 2020,10696
19843,16178,Sat Sep 26 09:12:03 COT 2020,16519
19843,16178,Sat Sep 26 09:12:03 COT 2020,10696
19844,16178,Sat Sep 26 09:12:03 COT 2020,13845
19844,16178,Sat Sep 26 09:12:03 COT 2020,13845
19845,16178,Sat Sep 26 09:12:03 COT 2020,11340
19845,16178,Sat Sep 26 09:12:03 COT 2020,11340
19845,16178,Sat Sep 26 09:12:03 COT 2020,11340
19845,16178,Sat Sep 26 09:12:03 COT 2020,11340
19846,16178,Sat Sep 26 09:12:03 COT 2020,11340
19846,16178,Sat Sep 26 09:12:03 COT 2020,11340
19846,16178,Sat Sep 26 09:12:03 COT 2020,11340
19846,16178,Sat Sep 26 09:12:03 COT 2020,11340
19847,16178,Sat Sep 26 09:12:03 COT 2020,12232
19847,16178,Sat Sep 26 09:12:03 COT 2020,12232
19847,16178,Sat Sep 26 09:12:03 COT 2020,12232
19847,16178,Sat Sep 26 09:12:03 COT 2020,12232
19848,16178,Sat Sep 26 09:12:03 COT 2020,12232
19848,16178,Sat Sep 26 09:12:03 COT 2020,12232
19848,16178,Sat Sep 26 09:12:03 COT 2020,12232
19848,16178,Sat Sep 26 09:12:03 COT 2020,12232
19849,16178,Sat Sep 26 09:12:03 COT 2020,13661
19849,16178,Sat Sep 26 09:12:03 COT 2020,5748
19849,16178,Sat Sep 26 09:12:03 COT 2020,13661
19849,16178,Sat Sep 26 09:12:03 COT 2020,5748
19850,16178,Sat Sep 26 09:12:03 COT 2020,2874
19850,16178,Sat Sep 26 09:12:03 COT 2020,2874
19851,16178,Sat Sep 26 09:12:03 COT 2020,2619
19851,16178,Sat Sep 26 09:12:03 COT 2020,2619
19852,16178,Sat Sep 26 09:12:03 COT 2020,19357
19852,16178,Sat Sep 26 09:12:03 COT 2020,19357
19853,16178,Sat Sep 26 09:12:03 COT 2020,14978
19853,16178,Sat Sep 26 09:12:03 COT 2020,14978
19854,16178,Sat Sep 26 09:12:03 COT 2020,7784
19854,16178,Sat Sep 26 09:12:03 COT 2020,19091
19854,16178,Sat Sep 26 09:12:03 COT 2020,3225
19854,16178,Sat Sep 26 09:12:03 COT 2020,12866
19854,16178,Sat Sep 26 09:12:03 COT 2020,7784
19854,16178,Sat Sep 26 09:12:03 COT 2020,19091
19854,16178,Sat Sep 26 09:12:03 COT 2020,3225
19854,16178,Sat Sep 26 09:12:03 COT 2020,12866
19855,16178,Sat Sep 26 09:12:03 COT 2020,7721
19855,16178,Sat Sep 26 09:12:03 COT 2020,7721
19856,16178,Sat Sep 26 09:12:03 COT 2020,16899
19856,16178,Sat Sep 26 09:12:03 COT 2020,16899
19857,16178,Sat Sep 26 09:12:03 COT 2020,2811
19857,16178,Sat Sep 26 09:12:03 COT 2020,2811
19858,16178,Sat Sep 26 09:12:03 COT 2020,3788
19858,16178,Sat Sep 26 09:12:03 COT 2020,3788
19859,16178,Sat Sep 26 09:12:03 COT 2020,9085
19859,16178,Sat Sep 26 09:12:03 COT 2020,9085
19860,16178,Sat Sep 26 09:12:03 COT 2020,1635
19860,16178,Sat Sep 26 09:12:03 COT 2020,1635
19861,16178,Sat Sep 26 09:12:03 COT 2020,5168
19861,16178,Sat Sep 26 09:12:03 COT 2020,5168
19862,16178,Sat Sep 26 09:12:03 COT 2020,14304
19862,16178,Sat Sep 26 09:12:03 COT 2020,14304
19863,16178,Sat Sep 26 09:12:03 COT 2020,3590
19863,16178,Sat Sep 26 09:12:03 COT 2020,3590
19864,16178,Sat Sep 26 09:12:03 COT 2020,7006
19864,16178,Sat Sep 26 09:12:03 COT 2020,7006
19865,16178,Sat Sep 26 09:12:03 COT 2020,7445
19865,16178,Sat Sep 26 09:12:03 COT 2020,7445
19866,16178,Sat Sep 26 09:12:03 COT 2020,18996
19866,16178,Sat Sep 26 09:12:03 COT 2020,18996
19867,16178,Sat Sep 26 09:12:03 COT 2020,4719
19867,16178,Sat Sep 26 09:12:03 COT 2020,4719
19868,16178,Sat Sep 26 09:12:03 COT 2020,9520
19868,16178,Sat Sep 26 09:12:03 COT 2020,9520
19869,16178,Sat Sep 26 09:12:03 COT 2020,5375
19869,16178,Sat Sep 26 09:12:03 COT 2020,5375
19870,16178,Sat Sep 26 09:12:03 COT 2020,1885
19870,16178,Sat Sep 26 09:12:03 COT 2020,1885
19871,16178,Sat Sep 26 09:12:03 COT 2020,16819
19871,16178,Sat Sep 26 09:12:03 COT 2020,16819
19872,16178,Sat Sep 26 09:12:03 COT 2020,16192
19872,16178,Sat Sep 26 09:12:03 COT 2020,16192
19873,16178,Sat Sep 26 09:12:03 COT 2020,18935
19873,16178,Sat Sep 26 09:12:03 COT 2020,18935
19874,16178,Sat Sep 26 09:12:03 COT 2020,5178
19874,16178,Sat Sep 26 09:12:03 COT 2020,3580
19874,16178,Sat Sep 26 09:12:03 COT 2020,5178
19874,16178,Sat Sep 26 09:12:03 COT 2020,3580
19875,16178,Sat Sep 26 09:12:03 COT 2020,10496
19875,16178,Sat Sep 26 09:12:03 COT 2020,10496
19876,16178,Sat Sep 26 09:12:03 COT 2020,5833
19876,16178,Sat Sep 26 09:12:03 COT 2020,5833
19877,16178,Sat Sep 26 09:12:03 COT 2020,10862
19877,16178,Sat Sep 26 09:12:03 COT 2020,10862
19878,16178,Sat Sep 26 09:12:03 COT 2020,14886
19878,16178,Sat Sep 26 09:12:03 COT 2020,14886
19879,16178,Sat Sep 26 09:12:03 COT 2020,2188
19879,16178,Sat Sep 26 09:12:03 COT 2020,2188
19880,16178,Sat Sep 26 09:12:03 COT 2020,15563
19880,16178,Sat Sep 26 09:12:03 COT 2020,15563
19881,16178,Sat Sep 26 09:12:03 COT 2020,1958
19881,16178,Sat Sep 26 09:12:03 COT 2020,1958
19882,16178,Sat Sep 26 09:12:03 COT 2020,14355
19882,16178,Sat Sep 26 09:12:03 COT 2020,14355
19883,16178,Sat Sep 26 09:12:03 COT 2020,6104
19883,16178,Sat Sep 26 09:12:03 COT 2020,6104
19884,16178,Sat Sep 26 09:12:03 COT 2020,12473
19884,16178,Sat Sep 26 09:12:03 COT 2020,12473
19885,16178,Sat Sep 26 09:12:03 COT 2020,2200
19885,16178,Sat Sep 26 09:12:03 COT 2020,2200
19886,16178,Sat Sep 26 09:12:03 COT 2020,5667
19886,16178,Sat Sep 26 09:12:03 COT 2020,5667
19887,16178,Sat Sep 26 09:12:03 COT 2020,2983
19887,16178,Sat Sep 26 09:12:03 COT 2020,2983
19888,16178,Sat Sep 26 09:12:03 COT 2020,19556
19888,16178,Sat Sep 26 09:12:03 COT 2020,19556
19889,16178,Sat Sep 26 09:12:03 COT 2020,5502
19889,16178,Sat Sep 26 09:12:03 COT 2020,5502
19890,16178,Sat Sep 26 09:12:03 COT 2020,15851
19890,16178,Sat Sep 26 09:12:03 COT 2020,15851
19891,16178,Sat Sep 26 09:12:03 COT 2020,2131
19891,16178,Sat Sep 26 09:12:03 COT 2020,2131
19892,16178,Sat Sep 26 09:12:03 COT 2020,17120
19892,16178,Sat Sep 26 09:12:03 COT 2020,17120
19893,16178,Sat Sep 26 09:12:03 COT 2020,3378
19893,16178,Sat Sep 26 09:12:03 COT 2020,3378
19894,16178,Sat Sep 26 09:12:03 COT 2020,2450
19894,16178,Sat Sep 26 09:12:03 COT 2020,2450
19895,16178,Sat Sep 26 09:12:03 COT 2020,18696
19895,16178,Sat Sep 26 09:12:03 COT 2020,18696
19896,16178,Sat Sep 26 09:12:03 COT 2020,11041
19896,16178,Sat Sep 26 09:12:03 COT 2020,11041
19897,16178,Sat Sep 26 09:12:03 COT 2020,13169
19897,16178,Sat Sep 26 09:12:03 COT 2020,13169
19898,16178,Sat Sep 26 09:12:03 COT 2020,15168
19898,16178,Sat Sep 26 09:12:03 COT 2020,15168
19899,16178,Sat Sep 26 09:12:03 COT 2020,14855
19899,16178,Sat Sep 26 09:12:03 COT 2020,14855
19900,16178,Sat Sep 26 09:12:03 COT 2020,16120
19900,16178,Sat Sep 26 09:12:03 COT 2020,16120
19901,16178,Sat Sep 26 09:12:03 COT 2020,3670
