CODE,COST,NAME,DESCRIPTION
15042,3017,Pastry - Key Limepoppy Seed Tea,mauris enim leo rhoncus sed
1924,3840,Longan,metus aenean fermentum donec ut
1375,4241,Goulash Seasoning,aliquam erat volutpat in congue
13378,1581,Tuna - Yellowfin,nullam molestie nibh in lectus
6263,3429,Goulash Seasoning,enim blandit mi in porttitor
10407,4434,Tomatillo,nibh quisque id justo sit
13963,4209,Wine - Red Oakridge Merlot,sed magna at nunc commodo
12696,4655,Tea - Honey Green Tea,habitasse platea dictumst aliquam augue
9176,4220,Roe - Flying Fish,faucibus orci luctus et ultrices
5718,1915,Jam - Apricot,neque duis bibendum morbi non
12727,3082,Onions - Green,massa id lobortis convallis tortor
14396,1916,Tarts Assorted,viverra eget congue eget semper
17943,4326,Squid Ink,aliquam erat volutpat in congue
14727,1279,Ice Cream Bar - Oreo Cone,odio donec vitae nisi nam
7894,2423,"Cheese - Brie, Triple Creme",ut at dolor quis odio
16519,2867,Cookie Dough - Double,eros suspendisse accumsan tortor quis
13845,4216,Sugar - Crumb,magna ac consequat metus sapien
11340,2658,Sugar - White Packet,primis in faucibus orci luctus
12232,3906,"Sole - Dover, Whole, Fresh",diam vitae quam suspendisse potenti
13661,3055,Tea - Herbal Orange Spice,in imperdiet et commodo vulputate
2874,2776,"Quail - Eggs, Fresh",ipsum primis in faucibus orci
2619,2381,Yukon Jack,lorem quisque ut erat curabitur
19357,4680,Cucumber - Pickling Ontario,nisi at nibh in hac
14978,2269,Towel - Roll White,ut suscipit a feugiat et
7784,1821,Apron,curabitur convallis duis consequat dui
7721,4767,Lettuce - Radicchio,quis tortor id nulla ultrices
16899,3170,Artichokes - Jerusalem,blandit non interdum in ante
19091,1275,Pastry - Cherry Danish - Mini,luctus et ultrices posuere cubilia
2811,1537,Tarts Assorted,metus aenean fermentum donec ut
3225,2793,Oven Mitts - 15 Inch,nibh ligula nec sem duis
3788,2309,Magnotta Bel Paese Red,curabitur gravida nisi at nibh
9085,3569,Beef Ground Medium,ac est lacinia nisi venenatis
12866,1582,Carbonated Water - Blackberry,consequat ut nulla sed accumsan
1635,2302,Scallops 60/80 Iqf,vel pede morbi porttitor lorem
5168,2150,Wine - Sauvignon Blanc,volutpat dui maecenas tristique est
14304,3939,Pepper - Jalapeno,sit amet erat nulla tempus
3590,3878,Juice - Prune,tincidunt nulla mollis molestie lorem
7006,3536,Truffle - Peelings,nullam orci pede venenatis non
7445,1426,Yoghurt Tubes,vel nulla eget eros elementum
5748,3062,Smoked Paprika,orci eget orci vehicula condimentum
18996,2290,"Tray - Foam, Square 4 - S",pede libero quis orci nullam
4719,4465,"Roe - Lump Fish, Red",in hac habitasse platea dictumst
9520,1327,"Cake Circle, Paprus",arcu adipiscing molestie hendrerit at
5375,3967,Wine - Puligny Montrachet A.,ipsum primis in faucibus orci
1885,3182,"Soup - Knorr, Ministrone",lectus vestibulum quam sapien varius
16819,1166,Wine - Soave Folonari,sit amet erat nulla tempus
16192,3241,Lettuce - Escarole,dis parturient montes nascetur ridiculus
18935,4174,"Syrup - Golden, Lyles",sed nisl nunc rhoncus dui
5178,2342,Egg Patty Fried,eu mi nulla ac enim
10496,3669,Tomatoes - Hot House,vivamus vel nulla eget eros
5833,4622,Soup - Campbells Chili,sagittis dui vel nisl duis
10862,1294,Wine - Wyndham Estate Bin 777,semper interdum mauris ullamcorper purus
14886,4716,"Mushroom - Shitake, Fresh",ac est lacinia nisi venenatis
2188,1242,Flour - Cake,cum sociis natoque penatibus et
15563,4650,"Nut - Almond, Blanched, Whole",gravida nisi at nibh in
1958,3124,Muffin Hinge 117n,leo pellentesque ultrices mattis odio
14355,3074,Cups 10oz Trans,enim leo rhoncus sed vestibulum
6104,4810,Sugar - Crumb,ultrices posuere cubilia curae duis
12473,4632,Ecolab - Lime - A - Way 4/4 L,mi nulla ac enim in
2200,4304,Lid - 0090 Clear,purus sit amet nulla quisque
5667,3252,"Vermouth - Sweet, Cinzano",leo pellentesque ultrices mattis odio
2983,3495,Mix - Cocktail Ice Cream,vestibulum sagittis sapien cum sociis
19556,2903,Food Colouring - Pink,pede venenatis non sodales sed
5502,2621,Table Cloth - 53x69 Colour,est risus auctor sed tristique
15851,2508,Pork - Sausage Casing,duis bibendum felis sed interdum
2131,2142,Plaintain,purus aliquet at feugiat non
17120,3653,"Red Snapper - Fresh, Whole",at turpis a pede posuere
3378,1359,"Crab - Blue, Frozen",vel lectus in quam fringilla
2450,4928,Lemon Balm - Fresh,libero rutrum ac lobortis vel
18696,1288,Pork - Bacon Cooked Slcd,congue eget semper rutrum nulla
11041,4367,Garlic - Peeled,amet diam in magna bibendum
13169,1913,Spice - Greek 1 Step,consectetuer adipiscing elit proin interdum
15168,4700,Towels - Paper / Kraft,curabitur convallis duis consequat dui
14855,4543,Corn Meal,magna bibendum imperdiet nullam orci
16120,3245,Cake Sheet Combo Party Pack,montes nascetur ridiculus mus vivamus
3670,3359,Eggplant Italian,eu orci mauris lacinia sapien
16550,2740,Vinegar - Sherry,cubilia curae mauris viverra diam
15093,2202,Chocolate Eclairs,platea dictumst morbi vestibulum velit
4576,4137,Mangoes,turpis sed ante vivamus tortor
17967,2848,Cheese - Shred Cheddar / Mozza,vel est donec odio justo
8194,3014,"Wine - Red, Wolf Blass, Yellow",et ultrices posuere cubilia curae
13619,1440,"Stock - Beef, Brown",nisl ut volutpat sapien arcu
16661,3361,Mousse - Banana Chocolate,enim leo rhoncus sed vestibulum
4388,3725,Catfish - Fillets,turpis donec posuere metus vitae
13148,3828,Steam Pan - Half Size Deep,libero nam dui proin leo
14852,2908,Bowl 12 Oz - Showcase 92012,pede ac diam cras pellentesque
3877,4812,Foam Cup 6 Oz,laoreet ut rhoncus aliquet pulvinar
15557,2676,Sprouts - China Rose,luctus nec molestie sed justo
12096,3452,Haggis,ligula in lacus curabitur at
5941,3218,Macaroons - Two Bite Choc,a nibh in quis justo
13750,4087,"Pasta - Fettuccine, Dry",nunc vestibulum ante ipsum primis
10990,1156,Carbonated Water - Blackberry,habitasse platea dictumst aliquam augue
1168,3883,Curry Powder Madras,et ultrices posuere cubilia curae
19145,4866,Chef Hat 25cm,justo in hac habitasse platea
17341,3031,"Napkin - Cocktail,beige 2 - Ply",convallis eget eleifend luctus ultricies
19103,4968,Muffin - Mix - Strawberry Rhubarb,nam tristique tortor eu pede
7875,1826,Dried Figs,turpis nec euismod scelerisque quam
1525,1919,Tea - Lemon Green Tea,ultrices posuere cubilia curae nulla
13953,4010,Wine - Shiraz Wolf Blass Premium,egestas metus aenean fermentum donec
12500,4201,Wild Boar - Tenderloin,diam id ornare imperdiet sapien
1670,1326,Cream Of Tartar,luctus ultricies eu nibh quisque
7378,4464,"Spoon - Soup, Plastic",non lectus aliquam sit amet
9711,1180,"Beef - Baby, Liver",bibendum felis sed interdum venenatis
10338,1009,Sprouts - Bean,rhoncus sed vestibulum sit amet
18647,1871,Sole - Iqf,adipiscing elit proin risus praesent
